word,today_count,yesterday_count ,growth_rate,trend_score,label
şahan,1,1,0.0,0.0,0
düzenlendi,1,1,0.0,0.0,0
kimle,1,1,0.0,0.0,0
isveç,1,1,0.0,0.0,0
cezası,1,1,0.0,0.0,0
nerelere,1,1,0.0,0.0,0
yiyecekler,1,1,0.0,0.0,0
çözmeye,1,1,0.0,0.0,0
arda,1,1,0.0,0.0,0
rüyayla,1,1,0.0,0.0,0
alkolsüz,1,1,0.0,0.0,0
ata,1,1,0.0,0.0,0
dokuzuncu,1,1,0.0,0.0,0
iran,7,8,-0.125,-0.875,0
biranın,1,1,0.0,0.0,0
galibiyetiyle,1,1,0.0,0.0,0
enerji,1,1,0.0,0.0,0
genç,1,1,0.0,0.0,0
kağıt,1,1,0.0,0.0,0
kimdir,1,1,0.0,0.0,0
şartlarda,1,1,0.0,0.0,0
etkili,1,1,0.0,0.0,0
yıl,1,1,0.0,0.0,0
savunma,1,1,0.0,0.0,0
teknolojiyi,1,1,0.0,0.0,0
dönüyor,1,1,0.0,0.0,0
belediye,3,2,0.5,1.5,0
yatarak,1,1,0.0,0.0,0
kanserle,1,1,0.0,0.0,0
lira,1,1,0.0,0.0,0
diyor,2,1,1.0,2.0,0
kar,1,1,0.0,0.0,0
eşini,1,1,0.0,0.0,0
benzer,1,1,0.0,0.0,0
olabilir,1,1,0.0,0.0,0
yayınlarla,1,1,0.0,0.0,0
intihara,1,1,0.0,0.0,0
gye,1,1,0.0,0.0,0
forumu,1,1,0.0,0.0,0
bize,1,1,0.0,0.0,0
city,1,1,0.0,0.0,0
lübnan,1,2,-0.5,-0.5,0
erkeğe,1,1,0.0,0.0,0
özel,1,1,0.0,0.0,0
gereken,1,1,0.0,0.0,0
ekonomik,1,1,0.0,0.0,0
iyileşmesi,1,1,0.0,0.0,0
şampiyonluk,1,1,0.0,0.0,0
devam,1,1,0.0,0.0,0
saçtı,1,1,0.0,0.0,0
açılan,1,1,0.0,0.0,0
hale,1,1,0.0,0.0,0
sürecek,1,1,0.0,0.0,0
ara,2,1,1.0,2.0,0
gelebilecek,1,1,0.0,0.0,0
tören,1,1,0.0,0.0,0
güvenmeli,1,1,0.0,0.0,0
terk,1,1,0.0,0.0,0
artık,1,1,0.0,0.0,0
gizemini,1,1,0.0,0.0,0
kez,1,1,0.0,0.0,0
murat,2,1,1.0,2.0,0
türkiye,1,1,0.0,0.0,0
düşünüldüğü,1,1,0.0,0.0,0
sağlığa,1,1,0.0,0.0,0
giriyoruz,1,1,0.0,0.0,0
bbc,1,2,-0.5,-0.5,0
manchester,1,1,0.0,0.0,0
ongun,1,1,0.0,0.0,0
ele,1,1,0.0,0.0,0
transfer,1,1,0.0,0.0,0
komik,1,1,0.0,0.0,0
sisiyle,1,1,0.0,0.0,0
hapis,2,2,0.0,0.0,0
tutuklandı,3,1,2.0,6.0,1
oynanacak,1,1,0.0,0.0,0
açık,1,1,0.0,0.0,0
tadı,1,1,0.0,0.0,0
kupası,3,5,-0.4,-1.2000000000000002,0
gördüğü,1,1,0.0,0.0,0
ülkeler,1,1,0.0,0.0,0
dönmedi,1,1,0.0,0.0,0
özkan,1,1,0.0,0.0,0
eski,2,1,1.0,2.0,0
turizm,1,1,0.0,0.0,0
baş,1,1,0.0,0.0,0
lig,1,1,0.0,0.0,0
büyük,1,1,0.0,0.0,0
ocak,1,1,0.0,0.0,0
suçlu,1,1,0.0,0.0,0
şirket,1,1,0.0,0.0,0
gezisi,1,1,0.0,0.0,0
her,4,1,3.0,12.0,1
hürmüz,4,4,0.0,0.0,0
sürüklemekten,1,1,0.0,0.0,0
kullanıyor,1,1,0.0,0.0,0
tunceli,2,1,1.0,2.0,0
söz,2,1,1.0,2.0,0
edildi,2,1,1.0,2.0,0
trump,1,2,-0.5,-0.5,0
soruşturmayı,1,1,0.0,0.0,0
yana,1,1,0.0,0.0,0
deniz,2,3,-0.3333333333333333,-0.6666666666666666,0
aldı,1,1,0.0,0.0,0
ablukası,1,1,0.0,0.0,0
sunan,1,1,0.0,0.0,0
resul,1,1,0.0,0.0,0
tahıllar,1,1,0.0,0.0,0
türkiyenin,1,2,-0.5,-0.5,0
çağrıldı,1,1,0.0,0.0,0
arsenal,1,1,0.0,0.0,0
format,1,1,0.0,0.0,0
diplomasi,1,1,0.0,0.0,0
başkanı,3,2,0.5,1.5,0
maçlar,1,1,0.0,0.0,0
israil,2,2,0.0,0.0,0
elon,1,1,0.0,0.0,0
yapay,2,2,0.0,0.0,0
geliyor,1,1,0.0,0.0,0
geçiş,1,1,0.0,0.0,0
okul,2,2,0.0,0.0,0
eleştirdi,1,1,0.0,0.0,0
sektörünü,1,1,0.0,0.0,0
bağışıklık,1,1,0.0,0.0,0
hiçbir,1,1,0.0,0.0,0
zekayı,1,1,0.0,0.0,0
fotoğraflarla,1,1,0.0,0.0,0
sistemi,2,1,1.0,2.0,0
üçüncü,1,1,0.0,0.0,0
ortadoğudaki,1,1,0.0,0.0,0
haritalarla,1,1,0.0,0.0,0
kahramanmaraş,1,1,0.0,0.0,0
böyle,2,1,1.0,2.0,0
edip,1,1,0.0,0.0,0
yere,1,1,0.0,0.0,0
sinyal,1,1,0.0,0.0,0
final,1,1,0.0,0.0,0
kim,1,1,0.0,0.0,0
bilim,1,1,0.0,0.0,0
bin,1,1,0.0,0.0,0
önemli,3,1,2.0,6.0,1
mesaj,1,1,0.0,0.0,0
